月份	M2数量（亿元）	M2同比	M2环比	M1数量（亿元）	M1同比	M1环比	M0数量（亿元）	M0同比	M0环比
2019年11月份	1961429.56	8.20%	0.81%	562486.52	3.50%	0.78%	73973.82	4.80%	0.79%
2019年10月份	1945600.55	8.40%	-0.34%	558143.92	3.30%	0.18%	73395.40	4.70%	-0.99%
2019年09月份	1952250.49	8.40%	0.87%	557137.95	3.40%	0.06%	74129.75	4.00%	1.34%
2019年08月份	1935492.43	8.20%	0.84%	556798.09	3.40%	0.68%	73152.62	4.80%	0.64%
2019年07月份	1919400.00	8.10%	-0.10%	553000.00	3.10%	-2.59%	72700.00	4.50%	0.14%
2019年06月份	1921400.00	8.50%	1.60%	567700.00	4.40%	4.28%	72600.00	4.30%	-0.27%
2019年05月份	1891200.00	8.50%	0.34%	544400.00	3.40%	0.70%	72800.00	4.30%	-1.62%
2019年04月份	1884700.00	8.50%	-0.25%	540600.00	2.90%	-1.28%	74000.00	3.50%	-1.20%
2019年03月份	1889400.00	8.60%	1.18%	547600.00	4.60%	3.87%	74900.00	3.10%	-5.79%
2019年02月份	1867400.00	8.00%	0.08%	527200.00	2.00%	-3.37%	79500.00	-2.40%	-9.14%
2019年01月份	1865900.00	8.40%	2.14%	545600.00	0.40%	-1.10%	87500.00	17.20%	19.52%
2018年12月份	1826744.22	8.10%	0.75%	551685.91	1.50%	1.51%	73208.40	3.60%	3.75%
2018年11月份	1813200	8.00%	0.98%	543500	1.50%	0.63%	70600	2.80%	0.71%
2018年10月份	1795600	8.00%	-0.34%	540100	2.70%	0.28%	70100	2.80%	-1.68%
2018年09月份	1801700	8.30%	0.73%	538600	4.00%	0.06%	71300	2.20%	2.15%
2018年08月份	1788700	8.20%	0.70%	538300	3.90%	0.32%	69800	3.30%	0.43%
2018年07月份	1776200	8.50%	0.34%	536600	5.10%	-1.34%	69500	3.60%	-0.14%
2018年06月份	1770200	8.00%	1.56%	543900	6.60%	3.35%	69600	3.90%	-0.25%
2018年05月份	1743063.79	8.30%	0.31%	526276.72	6.00%	0.16%	69774.81	3.60%	-2.38%
2018年04月份	1737683.73	8.30%	-0.13%	525447.77	7.20%	0.36%	71476.46	4.50%	-1.67%
2018年03月份	1739859.48	8.20%	0.62%	523540.07	7.10%	1.26%	72692.63	6.00%	-10.72%
2018年02月份	1729070.12	8.80%	0.48%	517035.99	8.50%	-4.82%	81424.24	13.50%	9.09%
2018年01月份	1720814.46	8.60%	2.63%	543247.13	15.00%	-0.10%	74636.29	-13.80%	5.65%
2017年12月份	1676768.54	8.20%	0.40%	543790.15	11.80%	1.54%	70645.6	3.40%	2.95%
2017年11月份	1670013.4	9.10%	1.00%	535565.05	12.70%	1.82%	68623.16	5.70%	0.58%
2017年10月份	1653434.16	8.80%	-0.13%	525977.19	13.00%	1.57%	68230.69	6.30%	-2.18%
2017年09月份	1655662.07	9.20%	0.64%	517863.04	14.00%	-0.05%	69748.54	7.20%	3.25%
2017年08月份	1645156.6	8.90%	0.99%	518113.93	14.00%	1.49%	67550.99	6.50%	0.63%
2017年07月份	1628996.63	9.20%	-0.14%	510484.58	15.30%	0.05%	67129.04	6.10%	0.23%
2017年06月份	1631282.53	9.40%	1.87%	510228.17	15.00%	2.79%	66977.68	6.60%	-0.53%
2017年05月份	1601360.42	9.60%	0.32%	496389.78	17.00%	1.27%	67333.21	7.30%	-1.55%
2017年04月份	1596331.87	10.50%	-0.20%	490180.42	18.50%	0.29%	68392.6	6.20%	-0.31%
2017年03月份	1599609.57	10.60%	1.05%	488770.09	18.80%	2.57%	68605.05	6.10%	-4.35%
2017年02月份	1582913.07	11.10%	0.44%	476527.6	21.40%	0.85%	71727.69	3.30%	-17.17%
2017年01月份	1575945.59	11.30%	1.67%	472526.45	14.50%	-2.88%	86598.61	19.40%	26.78%
2016年12月份	1550066.67	11.30%	1.28%	486557.24	21.40%	2.35%	68303.87	8.10%	5.24%
2016年11月份	1530432.06	11.40%	0.72%	475405.54	22.70%	2.14%	64903.5	7.60%	1.07%
2016年10月份	1519485.4	11.60%	0.21%	465446.65	23.90%	2.44%	64214.93	7.20%	-1.31%
2016年09月份	1516360.5	11.50%	0.36%	454340.25	24.70%	-0.04%	65068.62	6.60%	2.54%
2016年08月份	1510982.91	11.40%	1.30%	454543.6	25.30%	2.62%	63454.7	7.40%	0.28%
2016年07月份	1491558.72	10.20%	0.07%	442934.43	25.40%	-0.16%	63276.01	7.20%	0.73%
2016年06月份	1490491.83	11.80%	1.97%	443643.7	24.60%	4.57%	62818.89	7.20%	0.06%
2016年05月份	1461695.11	11.80%	1.14%	424250.7	23.70%	2.60%	62780.71	6.30%	-2.52%
2016年04月份	1445209.59	12.80%	-0.07%	413504.84	22.90%	0.47%	64403.17	6.00%	-0.38%
2016年03月份	1446198.03	13.40%	1.51%	411581.31	22.10%	4.86%	64651.21	4.40%	-6.87%
2016年02月份	1424618.68	13.30%	0.59%	392504.7	17.40%	-4.89%	69421.5	-4.80%	-4.28%
2016年01月份	1416319.55	14.00%	1.73%	412685.64	18.60%	2.93%	72526.51	15.10%	14.73%
2015年12月份	1392278.11	13.30%	1.33%	400953.44	15.20%	3.44%	63216.58	4.90%	4.79%
2015年11月份	1373956.01	13.70%	0.95%	387618.32	15.70%	3.14%	60328.24	3.20%	0.71%
2015年10月份	1361020.7	13.50%	0.09%	375806.45	14.00%	3.13%	59900.48	3.80%	-1.84%
2015年09月份	1359824.06	13.10%	0.21%	364416.9	11.40%	0.45%	61022.97	3.70%	3.32%
2015年08月份	1356907.98	13.30%	0.27%	362793.73	9.30%	2.74%	59061.79	1.80%	0.09%
2015年07月份	1353210.92	13.30%	1.49%	353122.19	6.60%	-0.83%	59010.71	2.90%	0.69%
2015年06月份	1333375.36	11.80%	1.99%	356082.86	4.30%	3.79%	58604.26	2.90%	-0.80%
2015年05月份	1307357.63	10.80%	2.08%	343085.86	4.70%	1.99%	59075.97	1.80%	-2.79%
2015年04月份	1280779.14	10.10%	0.43%	336388.24	3.70%	-0.24%	60772.46	3.70%	-1.90%
2015年03月份	1275332.78	11.60%	1.43%	337210.52	2.90%	0.83%	61949.81	6.20%	-15.02%
2015年02月份	1257380.48	12.50%	1.18%	334439.22	5.60%	-3.93%	72900	17.00%	15.64%
2015年01月份	1242710.22	10.80%	1.17%	348109.5	10.60%	0.02%	63040.51	-17.60%	4.62%
2014年12月份	1228374.81	12.20%	1.64%	348056.41	3.20%	3.86%	60259.53	2.90%	3.12%
2014年11月份	1208605.95	12.30%	0.78%	335114.13	3.20%	1.67%	58438.53	3.50%	1.29%
2014年10月份	1199236.31	12.60%	-0.23%	329617.73	3.20%	0.73%	57691.64	3.80%	-1.96%
2014年09月份	1202051.41	12.90%	0.38%	327220.21	4.80%	-1.45%	58844.99	4.20%	1.46%
2014年08月份	1197499.08	12.80%	0.27%	332023.23	5.70%	0.20%	57997.61	5.60%	1.14%
2014年07月份	1194249.24	13.50%	-1.27%	331347.32	6.70%	-2.97%	57346.5	5.40%	0.69%
2014年06月份	1209587.2	14.70%	2.31%	341487.45	8.90%	4.16%	56951.05	5.30%	-1.89%
2014年05月份	1182293.96	13.40%	1.15%	327839.56	5.70%	1.03%	58051.11	6.70%	-0.96%
2014年04月份	1168812.67	13.20%	0.70%	324482.52	5.50%	-0.98%	58615.54	5.40%	0.49%
2014年03月份	1160687.38	12.10%	2.56%	327683.74	5.40%	3.49%	58329.3	5.20%	-6.40%
2014年02月份	1131760.83	13.30%	0.73%	316625.11	6.90%	0.55%	62320.95	3.30%	-18.53%
2014年01月份	1123521.21	13.20%	1.54%	314900.55	1.20%	-6.64%	76500	22.50%	30.60%
2013年12月份	1106524.98	13.60%	2.53%	337291.05	9.30%	3.84%	58574.44	7.10%	3.78%
2013年11月份	1079257.06	14.20%	0.84%	324821.92	9.40%	1.66%	56441.27	7.70%	1.52%
2013年10月份	1070242.17	14.30%	-0.66%	319509.38	8.90%	2.30%	55595.72	8.00%	-1.59%
2013年09月份	1077379.16	14.20%	1.52%	312330.34	8.90%	-0.56%	56492.53	5.70%	2.85%
2013年08月份	1061256.43	14.70%	0.86%	314085.91	9.90%	1.12%	54925.35	9.30%	0.94%
2013年07月份	1052212.34	14.50%	-0.21%	310596.46	9.70%	-0.93%	54412.78	9.50%	0.65%
2013年06月份	1054403.69	14.00%	1.17%	313499.82	9.10%	1.06%	54063.91	9.90%	-0.68%
2013年05月份	1042169.16	15.80%	0.93%	310204.48	11.30%	0.83%	54431.39	10.80%	-2.11%
2013年04月份	1032551.9	16.10%	-0.32%	307648.42	11.90%	-1.05%	55607.15	10.80%	0.26%
2013年03月份	1035858.37	15.70%	3.73%	310898.29	11.90%	5.00%	55460.52	12.40%	-8.05%
2013年02月份	998600.83	15.20%	0.65%	296103.24	9.50%	-4.86%	60313.65	17.20%	-3.42%
2013年01月份	992129.25	15.90%	1.85%	311228.55	15.30%	0.83%	62449.63	4.40%	14.25%
2012年12月份	974148.8	13.80%	3.10%	308664.23	6.50%	3.97%	54659.77	7.70%	4.33%
2012年11月份	944832.4	13.90%	0.90%	296883	5.50%	1.22%	52392.12	10.70%	1.80%
2012年10月份	936404.28	14.10%	-0.77%	293309.78	6.10%	2.27%	51467.71	10.50%	-3.68%
2012年09月份	943688.75	14.80%	2.03%	286788.21	7.30%	0.37%	53433.49	13.30%	6.37%
2012年08月份	924894.59	13.50%	0.63%	285739.27	4.50%	0.94%	50235.06	9.70%	1.06%
2012年07月份	919072.4	13.90%	-0.64%	283090.68	4.60%	-1.54%	49705.85	10.00%	0.85%
2012年06月份	924991.2	13.60%	2.77%	287526.17	4.70%	3.18%	49284.64	10.80%	0.50%
2012年05月份	900048.77	13.20%	1.17%	278656.31	3.50%	1.34%	49039.72	10.00%	-2.31%
2012年04月份	889604.04	12.80%	-0.67%	274983.82	3.10%	-1.08%	50199.32	10.40%	1.22%
2012年03月份	895565.5	13.40%	3.27%	277998.11	4.40%	2.84%	49595.74	10.60%	-3.60%
2012年02月份	867171.42	13.00%	1.32%	270312.11	4.30%	0.11%	51448.78	8.80%	-14.00%
2012年01月份	855898.89	12.40%	0.51%	270010.4	3.10%	-6.84%	59820.72	3.00%	17.88%
2011年12月份	851590.9	13.60%	3.16%	289847.7	7.90%	3.00%	50748.46	13.80%	7.25%
2011年11月份	825493.94	12.70%	1.06%	281416.37	7.80%	1.76%	47317.26	12.00%	1.58%
2011年10月份	816829.25	12.90%	3.74%	276552.67	8.40%	3.50%	46579.39	11.90%	-1.20%
2011年09月份	787406.2	13.04%	0.84%	267193.16	8.85%	-2.27%	47145.29	12.68%	2.99%
2011年08月份	780852.3	13.50%	1.03%	273393.77	11.20%	1.05%	45775.29	14.70%	1.31%
2011年07月份	772923.65	14.70%	-1.01%	270545.65	11.60%	-1.50%	45183.1	14.30%	1.59%
2011年06月份	780820.85	15.90%	2.28%	274662.57	13.10%	2.00%	44477.8	14.40%	-0.28%
2011年05月份	763409.22	15.10%	0.80%	269289.63	12.70%	0.95%	44602.83	15.40%	-1.95%
2011年04月份	757384.56	15.30%	-0.10%	266766.91	12.90%	0.19%	45489.03	14.70%	1.44%
2011年03月份	758130.88	16.60%	2.99%	266255.48	15.00%	2.72%	44845.22	14.80%	-5.13%
2011年02月份	736130.86	15.70%	0.31%	259200.5	14.50%	-0.98%	47270.24	10.30%	-18.64%
2011年01月份	733884.83	17.20%	1.11%	261765.01	13.60%	-1.82%	58100	42.50%	30.19%
2010年12月份	725851.79	19.70%	2.18%	266621.54	21.20%	2.78%	44628.17	16.70%	5.62%
2010年11月份	710339.03	19.50%	1.51%	259420.32	22.10%	2.41%	42252.16	16.30%	1.46%
2010年10月份	699776.74	19.30%	0.47%	253313.17	22.10%	3.89%	41646.21	16.60%	-0.50%
2010年09月份	696471.5	19.00%	1.30%	243821.9	20.90%	-0.21%	41854.41	13.80%	4.84%
2010年08月份	687506.92	19.20%	2.00%	244340.64	21.90%	1.53%	39922.76	16.00%	0.96%
2010年07月份	674051.48	17.60%	0.02%	240664.07	22.90%	0.03%	39543.16	15.50%	1.64%
2010年06月份	673921.58	18.50%	1.59%	240580	24.60%	1.73%	38904.85	15.70%	0.65%
2010年05月份	663352.44	21.00%	1.03%	236497.88	29.90%	1.11%	38652.97	15.20%	-2.53%
2010年04月份	656561.49	21.48%	1.02%	233909.76	31.25%	1.97%	39657.54	15.76%	1.48%
2010年03月份	649947.46	22.50%	2.18%	229397.93	29.94%	2.28%	39080.58	15.81%	-8.83%
2010年02月份	636072.26	25.52%	1.67%	224286.95	34.99%	-2.31%	42865.79	21.98%	5.17%
2010年01月份	625609.29	25.98%	2.52%	229588.98	38.96%	3.68%	40758.58	-0.79%	6.57%
2009年12月份	610224.52	27.68%	2.63%	221445.81	32.35%	4.21%	38246.97	11.77%	5.24%
2009年11月份	594604.72	29.74%	1.36%	212493.2	34.63%	2.38%	36343.86	14.99%	1.72%
2009年10月份	586643.29	29.42%	0.21%	207545.74	32.03%	2.89%	35730.23	14.09%	-2.88%
2009年09月份	585405.34	29.31%	1.51%	201708.14	29.51%	0.66%	36787.89	15.96%	6.92%
2009年08月份	576698.95	28.53%	0.63%	200394.83	27.72%	2.30%	34406.62	11.52%	0.49%
2009年07月份	573102.85	28.42%	0.74%	195889.27	26.37%	1.42%	34239.3	11.59%	1.78%
2009年06月份	568916.2	28.46%	3.77%	193138.15	24.79%	6.10%	33640.98	11.46%	0.24%
2009年05月份	548263.51	25.74%	1.44%	182025.58	18.69%	2.14%	33559.52	11.24%	-2.04%
2009年04月份	540481.21	25.95%	1.86%	178213.57	17.48%	0.95%	34257.27	11.26%	1.51%
2009年03月份	530626.71	25.51%	4.72%	176541.13	17.04%	6.25%	33746.42	10.88%	-3.97%
2009年02月份	506708.07	20.48%	2.13%	166149.6	10.87%	0.57%	35141.64	8.28%	-14.46%
2009年01月份	496135.31	18.79%	4.41%	165214.34	6.68%	-0.60%	41082.37	12.02%	20.06%
2008年12月份	475166.6	17.82%	3.60%	166217.13	9.06%	5.32%	34218.96	12.65%	8.26%
2008年11月份	458644.66	14.80%	1.22%	157826.63	6.80%	0.40%	31607.36	9.04%	0.92%
2008年10月份	453133.32	15.02%	0.05%	157194.36	8.85%	0.93%	31317.84	10.59%	-1.28%
2008年09月份	452898.71	15.29%	0.90%	155748.97	9.43%	-0.73%	31724.88	9.28%	2.83%
2008年08月份	448846.68	16.00%	0.56%	156889.92	11.48%	1.22%	30851.62	10.89%	0.54%
2008年07月份	446362.17	16.35%	0.73%	154992.44	13.96%	0.11%	30687.19	12.30%	1.68%
2008年06月份	443141.02	17.37%	1.59%	154820.15	14.19%	0.96%	30181.32	12.28%	0.04%
2008年05月份	436221.6	18.07%	1.61%	153344.75	17.93%	1.09%	30169.3	12.88%	-2.01%
2008年04月份	429313.72	16.94%	1.48%	151694.91	19.05%	0.55%	30789.61	10.70%	1.17%
2008年03月份	423054.53	16.19%	0.48%	150867.47	17.97%	0.46%	30433.07	11.12%	-6.23%
2008年02月份	421037.84	17.39%	0.76%	150177.88	18.95%	-3.03%	32454.47	5.96%	-11.50%
2008年01月份	417846.17	18.88%	3.58%	154872.59	20.54%	1.54%	36673.15	31.21%	20.90%